preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Sueño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.233727321461664,1994,1,,/title/tt0111161/
2,El padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155790295959035,1972,2,,/title/tt0068646/
3,Batman: El Caballero de la Noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.984921137694855,2008,3,,/title/tt0468569/
4,El padrino II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.983864161441657,1974,4,,/title/tt0071562/
1,12 hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.947135814431428,1957,5,,/title/tt0050083/
2,La lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.934964207246948,1993,6,,/title/tt0108052/
3,El señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.920555682714502,2003,7,,/title/tt0167260/
4,Tiempos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.851036368151739,1994,8,,/title/tt0110912/
1,El señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.80326835660439,2001,9,,/title/tt0120737/
2," El bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.793949288341233,1966,1,,/title/tt0060196/
3,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.767202736709072,1994,11,,/title/tt0109830/
4,El club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.750284038594485,1999,12,,/title/tt0137523/
1,El origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732857341600516,2010,13,,/title/tt1375666/
2,El señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.727389710861756,2002,14,,/title/tt0167261/
3,El imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.701641612652676,1980,15,,/title/tt0080684/
4,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.671119281111523,1999,16,,/title/tt0133093/
1,Buenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.65080984232072,1990,17,,/title/tt0099685/
2,Atrapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.641489441381992,1975,18,,/title/tt0073486/
3,"Seven, los siete pecados capitales","David Fincher (dir.), Morgan Freeman, Brad Pitt",8.603856832642302,1995,19,,/title/tt0114369/
4,Los siete samurais,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.5992503667378,1954,20,,/title/tt0047478/
1,¡Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.597006776696789,1946,21,,/title/tt0038650/
2,El silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.587990207295878,1991,22,,/title/tt0102926/
3,Ciudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579082275734445,2002,23,,/title/tt0317248/
4,Rescatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.577410329815905,1998,24,,/title/tt0120815/
1,La vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.566097272033774,1997,25,,/title/tt0118799/
2,Milagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.559562802313076,1999,26,,/title/tt0120689/
3,La guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.554565791859872,1977,27,,/title/tt0076759/
4,Interestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.55449046114926,2014,28,,/title/tt0816692/
